Mood,Tamil Song,Tamil Movie,Travel Location,Famous Places,Famous Hotels with Price,Food,Book
Happy,Ullam Urugudhaiya,Thani Oruvan,Manali,"Tea Gardens, Eravikulam National Park, Mattupetty Dam",Span Resort & Spa (₹10000/night),Ice Cream,Big Magic
Calm,Ullam Urugudhaiya,Deiva Thirumagal,Kodaikanal,"Bryant Park, Pillar Rocks, Coaker's Walk",Taj Savoy (₹10500/night),Pasta,Ikigai
Happy,Munbe Vaa,Thani Oruvan,Manali,"Bryant Park, Pillar Rocks, Coaker's Walk",Sterling Kodai Lake (₹6000/night),Biryani,Ikigai
Adventurous,Ullam Urugudhaiya,Thani Oruvan,Manali,"Aguada Fort, Dudhsagar Falls, Baga Beach",Sterling Kodai Lake (₹6000/night),Biryani,Sapiens
Happy,Munbe Vaa,Deiva Thirumagal,Manali,"Eravikulam National Park, Mattupetty Dam, Tea Gardens",Taj Exotica (₹12000/night),Biryani,Big Magic
Happy,Nenjukkul Peidhidum,Azhagiya Tamil Magan,Ooty,"Hadimba Temple, Rohtang Pass, Solang Valley",The Carlton (₹8000/night),Ice Cream,Big Magic
Adventurous,Munbe Vaa,Vaaranam Aayiram,Goa,"Hadimba Temple, Rohtang Pass, Solang Valley",Taj Savoy (₹10500/night),Biryani,Big Magic
Calm,Munbe Vaa,Thani Oruvan,Goa,"Hadimba Temple, Solang Valley, Rohtang Pass",Wildflower Hall (₹13000/night),Pasta,Ikigai
Happy,Munbe Vaa,Sillunu Oru Kadhal,Kodaikanal,"Solang Valley, Rohtang Pass, Hadimba Temple",Sterling Kodai Lake (₹6000/night),Samosa,Ikigai
Adventurous,Ullam Urugudhaiya,Deiva Thirumagal,Manali,"Aguada Fort, Dudhsagar Falls, Baga Beach",Tea County (₹7000/night),Pasta,The Alchemist
Calm,Ullam Urugudhaiya,Vaaranam Aayiram,Manali,"Bryant Park, Coaker's Walk, Pillar Rocks",The Carlton (₹8000/night),Biryani,Big Magic
Romantic,Munbe Vaa,Minnale,Ooty,"Doddabetta Peak, Botanical Garden, Ooty Lake",Tea County (₹7000/night),Ice Cream,Ikigai
Adventurous,Nenjukkul Peidhidum,Deiva Thirumagal,Kodaikanal,"Ooty Lake, Doddabetta Peak, Botanical Garden",Sterling Kodai Lake (₹6000/night),Biryani,Big Magic
Calm,Nenjukkul Peidhidum,Thani Oruvan,Goa,"Aguada Fort, Dudhsagar Falls, Baga Beach",Savoy Ooty (₹9000/night),Pasta,The Alchemist
Adventurous,Munbe Vaa,Minnale,Munnar,"Dudhsagar Falls, Baga Beach, Aguada Fort",Sterling Kodai Lake (₹6000/night),Biryani,Ikigai
Adventurous,Ullam Urugudhaiya,Vaaranam Aayiram,Munnar,"Eravikulam National Park, Mattupetty Dam, Tea Gardens",Sterling Kodai Lake (₹6000/night),Pasta,Atomic Habits
Calm,Munbe Vaa,Deiva Thirumagal,Shimla,"Solang Valley, Rohtang Pass, Hadimba Temple",Sterling Kodai Lake (₹6000/night),Pasta,Atomic Habits
Adventurous,Munbe Vaa,Vaaranam Aayiram,Goa,"Tea Gardens, Mattupetty Dam, Eravikulam National Park",The Carlton (₹8000/night),Samosa,Ikigai
Romantic,Ullam Urugudhaiya,Azhagiya Tamil Magan,Ooty,"Pillar Rocks, Coaker's Walk, Bryant Park",Taj Exotica (₹12000/night),Ice Cream,Ikigai
Romantic,Nenjukkul Peidhidum,Vaaranam Aayiram,Kodaikanal,"Dudhsagar Falls, Baga Beach, Aguada Fort",The Leela (₹15000/night),Samosa,Big Magic
Happy,Munbe Vaa,Thani Oruvan,Goa,"Hadimba Temple, Solang Valley, Rohtang Pass",Taj Exotica (₹12000/night),Ice Cream,Ikigai
Happy,Munbe Vaa,Sillunu Oru Kadhal,Shimla,"Ooty Lake, Doddabetta Peak, Botanical Garden",Sterling Kodai Lake (₹6000/night),Chocolate Ice Cream,Ikigai
Calm,Ullam Urugudhaiya,Vaaranam Aayiram,Goa,"Solang Valley, Rohtang Pass, Hadimba Temple",The Carlton (₹8000/night),Samosa,Ikigai
Happy,Munbe Vaa,Vaaranam Aayiram,Manali,"Botanical Garden, Doddabetta Peak, Ooty Lake",Taj Exotica (₹12000/night),Biryani,Sapiens
Calm,Ullam Urugudhaiya,Vaaranam Aayiram,Goa,"Solang Valley, Rohtang Pass, Hadimba Temple",Wildflower Hall (₹13000/night),Samosa,Big Magic
Romantic,Ullam Urugudhaiya,Minnale,Kodaikanal,"Bryant Park, Pillar Rocks, Coaker's Walk",The Carlton (₹8000/night),Biryani,Atomic Habits
Happy,Ullam Urugudhaiya,Minnale,Manali,"Hadimba Temple, Rohtang Pass, Solang Valley",Taj Savoy (₹10500/night),Pasta,Ikigai
Adventurous,Ullam Urugudhaiya,Vaaranam Aayiram,Manali,"Bryant Park, Pillar Rocks, Coaker's Walk",Manu Allaya Resort (₹7500/night),Samosa,Big Magic
Adventurous,Munbe Vaa,Thani Oruvan,Kodaikanal,"Eravikulam National Park, Mattupetty Dam, Tea Gardens",Taj Exotica (₹12000/night),Pasta,Big Magic
Happy,Nenjukkul Peidhidum,Sillunu Oru Kadhal,Kodaikanal,"Tea Gardens, Eravikulam National Park, Mattupetty Dam",The Leela (₹15000/night),Pasta,Atomic Habits
Calm,Munbe Vaa,Minnale,Goa,"Solang Valley, Rohtang Pass, Hadimba Temple",Sterling Kodai Lake (₹6000/night),Pizza,Ikigai
Adventurous,Ullam Urugudhaiya,Vaaranam Aayiram,Shimla,"Eravikulam National Park, Mattupetty Dam, Tea Gardens",Taj Exotica (₹12000/night),Biryani,Big Magic
Happy,Munbe Vaa,Sillunu Oru Kadhal,Kodaikanal,"Kufri, Jakhoo Temple, Mall Road",Tea County (₹7000/night),Biryani,Ikigai
Calm,Munbe Vaa,Azhagiya Tamil Magan,Goa,"Bryant Park, Pillar Rocks, Coaker's Walk",Sterling Kodai Lake (₹6000/night),Pizza,Atomic Habits
Adventurous,Nenjukkul Peidhidum,Thani Oruvan,Kodaikanal,"Aguada Fort, Dudhsagar Falls, Baga Beach",Sterling Kodai Lake (₹6000/night),Pizza,Ikigai
Calm,Ullam Urugudhaiya,Vaaranam Aayiram,Munnar,"Doddabetta Peak, Ooty Lake, Botanical Garden",The Leela (₹15000/night),Samosa,Ikigai
Happy,Munbe Vaa,Deiva Thirumagal,Ooty,"Pillar Rocks, Coaker's Walk, Bryant Park",Taj Savoy (₹10500/night),Samosa,Atomic Habits
Adventurous,Munbe Vaa,Minnale,Ooty,"Coaker's Walk, Bryant Park, Pillar Rocks",Sterling Kodai Lake (₹6000/night),Chocolate Ice Cream,Sapiens
Happy,Ullam Urugudhaiya,Minnale,Munnar,"Aguada Fort, Baga Beach, Dudhsagar Falls",The Leela (₹15000/night),Samosa,Ikigai
Adventurous,Munbe Vaa,Thani Oruvan,Kodaikanal,"Aguada Fort, Baga Beach, Dudhsagar Falls",Manu Allaya Resort (₹7500/night),Pasta,Ikigai
Adventurous,Nenjukkul Peidhidum,Azhagiya Tamil Magan,Kodaikanal,"Dudhsagar Falls, Baga Beach, Aguada Fort",Span Resort & Spa (₹10000/night),Samosa,Atomic Habits
Calm,Nenjukkul Peidhidum,Minnale,Manali,"Hadimba Temple, Rohtang Pass, Solang Valley",Fragrant Nature (₹8500/night),Pizza,Ikigai
Happy,Nenjukkul Peidhidum,Vaaranam Aayiram,Munnar,"Coaker's Walk, Pillar Rocks, Bryant Park",Manu Allaya Resort (₹7500/night),Ice Cream,Atomic Habits
Happy,Munbe Vaa,Minnale,Shimla,"Coaker's Walk, Bryant Park, Pillar Rocks",Taj Exotica (₹12000/night),Chocolate Ice Cream,Big Magic
Romantic,Nenjukkul Peidhidum,Minnale,Kodaikanal,"Bryant Park, Coaker's Walk, Pillar Rocks",The Carlton (₹8000/night),Chocolate Ice Cream,Atomic Habits
Happy,Ullam Urugudhaiya,Deiva Thirumagal,Kodaikanal,"Pillar Rocks, Bryant Park, Coaker's Walk",The Carlton (₹8000/night),Samosa,Atomic Habits
Happy,Munbe Vaa,Thani Oruvan,Kodaikanal,"Doddabetta Peak, Botanical Garden, Ooty Lake",The Carlton (₹8000/night),Biryani,Ikigai
Calm,Munbe Vaa,Thani Oruvan,Ooty,"Hadimba Temple, Rohtang Pass, Solang Valley",Savoy Ooty (₹9000/night),Ice Cream,Big Magic
Happy,Ullam Urugudhaiya,Minnale,Kodaikanal,"Dudhsagar Falls, Baga Beach, Aguada Fort",Taj Exotica (₹12000/night),Pasta,Atomic Habits
Calm,Ullam Urugudhaiya,Thani Oruvan,Ooty,"Botanical Garden, Doddabetta Peak, Ooty Lake",Savoy Ooty (₹9000/night),Pizza,Big Magic
Romantic,Munbe Vaa,Minnale,Munnar,"Bryant Park, Pillar Rocks, Coaker's Walk",The Carlton (₹8000/night),Biryani,Big Magic
Romantic,Ullam Urugudhaiya,Sillunu Oru Kadhal,Goa,"Bryant Park, Coaker's Walk, Pillar Rocks",Wildflower Hall (₹13000/night),Pasta,Big Magic
Adventurous,Munbe Vaa,Minnale,Manali,"Kufri, Jakhoo Temple, Mall Road",Span Resort & Spa (₹10000/night),Biryani,The Alchemist
Romantic,Ullam Urugudhaiya,Azhagiya Tamil Magan,Ooty,"Bryant Park, Coaker's Walk, Pillar Rocks",Sterling Kodai Lake (₹6000/night),Pizza,Ikigai
